Time,Channel A,Channel B,Channel C,Channel D,Channel H
(ms),(V),(V),(V),(V),(mV)

27.74487834,-1.54590400,-1.88926900,-3.16658500,-3.92351400,-12.38554000
27.75487834,-1.51843500,-1.91521200,-3.13911600,-3.92351400,-11.94604000
27.76487834,-1.54590400,-1.91521200,-3.11317300,-3.97845200,-11.72628000
27.77487834,-1.57337300,-1.91521200,-3.13911600,-3.97845200,-10.85338000
27.78487834,-1.51843500,-1.88926900,-3.13911600,-3.89757000,-11.17690000
27.79487834,-1.54590400,-1.88926900,-3.19405400,-3.97845200,-11.50653000
27.80487834,-1.54590400,-1.88926900,-3.13911600,-3.89757000,-11.61641000
27.81487834,-1.54590400,-1.91521200,-3.13911600,-3.92351400,-11.61641000
27.82487834,-1.54590400,-1.91521200,-3.13911600,-3.92351400,-11.72628000
27.83487834,-1.54590400,-1.88926900,-3.13911600,-3.95098300,-11.94604000
27.84487834,-1.57337300,-1.91521200,-3.16658500,-3.95098300,-12.16579000
27.85487834,-1.54590400,-1.88926900,-3.13911600,-3.92351400,-11.72628000
27.86487834,-1.57337300,-1.91521200,-3.16658500,-3.95098300,-11.39666000
27.87487834,-1.57337300,-1.88926900,-3.16658500,-3.92351400,-11.72628000
27.88487834,-1.54590400,-1.88926900,-3.16658500,-3.92351400,-12.27567000
27.89487834,-1.54590400,-1.91521200,-3.16658500,-3.92351400,-11.94604000
27.90487834,-1.54590400,-1.88926900,-3.13911600,-3.92351400,-11.39666000
27.91487834,-1.57337300,-1.91521200,-3.16658500,-3.95098300,-12.60530000
27.92487834,-1.57337300,-1.91521200,-3.13911600,-3.97845200,-12.16579000
27.93487834,-1.57337300,-1.91521200,-3.16658500,-3.92351400,-11.28678000
27.94487834,-1.54590400,-1.91521200,-3.16658500,-3.95098300,-12.49542000
27.95487834,-1.57337300,-1.88926900,-3.16658500,-3.92351400,-11.94604000
27.96487833,-1.57337300,-1.88926900,-3.13911600,-3.95098300,-11.72628000
27.97487833,-1.54590400,-1.88926900,-3.13911600,-3.92351400,-12.16579000
27.98487833,-1.57337300,-1.88926900,-3.16658500,-3.97845200,-11.83616000
27.99487833,-1.57337300,-1.94268100,-3.19405400,-3.95098300,-11.50653000
28.00487833,-1.57337300,-1.91521200,-3.16658500,-3.92351400,-11.28678000
28.01487833,-1.54590400,-1.88926900,-3.13911600,-3.92351400,-11.72628000
28.02487833,-1.54590400,-1.88926900,-3.13911600,-3.92351400,-11.94604000
28.03487833,-1.57337300,-1.91521200,-3.13911600,-3.97845200,-11.72628000
28.04487833,-1.54590400,-1.88926900,-3.13911600,-3.92351400,-11.94604000
28.05487833,-1.54590400,-1.91521200,-3.13911600,-3.95098300,-12.16579000
28.06487833,-1.57337300,-1.94268100,-3.16658500,-3.97845200,-11.06702000
28.07487833,-1.57337300,-1.91521200,-3.13911600,-3.95098300,-12.16579000
28.08487833,-1.57337300,-1.91521200,-3.22152400,-3.97845200,-11.72628000
28.09487833,-1.57337300,-1.91521200,-3.19405400,-4.00439500,-11.94604000
28.10487833,-1.57337300,-1.88926900,-3.13911600,-3.95098300,-10.96325000
28.11487833,-1.54590400,-1.88926900,-3.11317300,-3.87010100,-12.38554000
28.12487833,-1.54590400,-1.88926900,-3.13911600,-3.92351400,-11.94604000
28.13487833,-1.57337300,-1.91521200,-3.19405400,-4.00439500,-12.27567000
28.14487833,-1.54590400,-1.91521200,-3.19405400,-4.00439500,-11.39666000
28.15487833,-1.57337300,-1.88926900,-3.16658500,-3.95098300,-12.38554000
28.16487833,-1.57337300,-1.88926900,-3.16658500,-3.92351400,-12.05591000
28.17487833,-1.57337300,-1.91521200,-3.13911600,-3.92351400,-12.16579000
28.18487833,-1.57337300,-1.88926900,-3.19405400,-3.95098300,-11.83616000
28.19487833,-1.57337300,-1.91521200,-3.16658500,-3.95098300,-11.83616000
28.20487833,-1.57337300,-1.91521200,-3.16658500,-4.00439500,-11.83616000
28.21487833,-1.57337300,-1.91521200,-3.13911600,-3.97845200,-11.61641000
28.22487833,-1.57337300,-1.94268100,-3.16658500,-3.95098300,-11.39666000
28.23487833,-1.54590400,-1.91521200,-3.19405400,-3.97845200,-11.83616000
28.24487833,-1.57337300,-1.94268100,-3.19405400,-3.95098300,-11.94604000
28.25487833,-1.60084200,-1.94268100,-3.22152400,-4.00439500,-11.61641000
